Level,Description,SeriesRefSNDQ,Quarter,Weight,Amount
Industry groups,"Prof, scientific, and technical services",SG01RSC04B01MN1,1987Q2,0.0408455,1804.574
Industry groups,Administrative and support services,SG01RSC04B01MN2,1987Q2,0.0120257,485.093
Industry groups,Local Government administration,SG01RSC04B01OO1,1987Q2,0.0063093,190.872
Industry groups,"Central government administration, defence, and public safety",SG01RSC04B01OO2,1987Q2,0.0372983,1191.156
Industry groups,Education and training,SG01RSC04B01PP1,1987Q2,0.0388231,1379.994
Industry groups,Health care and social assistance,SG01RSC04B01QQ1,1987Q2,0.0421132,1285.675
Industry groups,Arts and recreation services,SG01RSC04B01RS1,1987Q2,0.0078630,318.910
Industry groups,Other services,SG01RSC04B01RS2,1987Q2,0.0170951,473.424
Industry groups,"GST, import duties, stamp duty",SG01RSC04B01UZ9,1987Q2,0.0680429,1781.153
Industry groups,Agriculture,SG01RSC04B01AA1,1987Q3,0.0499960,1656.703
Industry groups,Forestry and logging,SG01RSC04B01AA2,1987Q3,0.0042006,135.736
Industry groups,"Fishing, aquaculture and agriculture, forestry and fishing support services",SG01RSC04B01AA3,1987Q3,0.0067661,199.914
Industry groups,Mining,SG01RSC04B01BB1,1987Q3,0.0140206,446.346
Industry groups,"Food, beverage, and tobacco manufacturing",SG01RSC04B01CC1,1987Q3,0.0564287,1111.293
Industry groups,"Textile, leather, clothing, and footwear manufacturing",SG01RSC04B01CC2,1987Q3,0.0140132,331.637
Industry groups,Wood and paper products manufacturing,SG01RSC04B01CC3,1987Q3,0.0191522,371.735
Industry groups,Printing,SG01RSC04B01CC4,1987Q3,0.0073460,225.063
Industry groups,"Petroleum, chemical, polymer, and rubber product manufacturing",SG01RSC04B01CC5,1987Q3,0.0381132,709.974
Industry groups,Non-metallic mineral product manufacturing,SG01RSC04B01CC6,1987Q3,0.0060588,186.740
Industry groups,Metal product manufacturing,SG01RSC04B01CC7,1987Q3,0.0187164,533.481
Industry groups,"Transport equipment, machinery and equipment manufacturing",SG01RSC04B01CC8,1987Q3,0.0286368,907.026
Industry groups,Furniture and other manufacturing,SG01RSC04B01CC9,1987Q3,0.0054366,188.183
Industry groups,"Electricity, gas, water, and waste services",SG01RSC04B01DD1,1987Q3,0.0297694,1108.420
Industry groups,Construction,SG01RSC04B01EE1,1987Q3,0.0500788,1633.710
Industry groups,Wholesale trade,SG01RSC04B01FF1,1987Q3,0.0574564,1514.564
Industry groups,Retail trade,SG01RSC04B01GH1,1987Q3,0.0502522,1168.877
Industry groups,Accommodation services,SG01RSC04B01GH2,1987Q3,0.0169034,700.726
Industry groups,"Transport, postal, and warehousing",SG01RSC04B01II1,1987Q3,0.0535779,971.482
Industry groups,Information media and telecommunications,SG01RSC04B01JJ1,1987Q3,0.0433400,448.299
Industry groups,Financial and insurance services,SG01RSC04B01KK1,1987Q3,0.0538671,1500.103
Industry groups,"Rental, hiring, and real estate services",SG01RSC04B01LL1,1987Q3,0.0424050,1800.063
Industry groups,Ownership of owner-occupied dwellings,SG01RSC04B01LL2,1987Q3,0.0630485,1997.435
Industry groups,"Prof, scientific, and technical services",SG01RSC04B01MN1,1987Q3,0.0408455,1882.315
Industry groups,Administrative and support services,SG01RSC04B01MN2,1987Q3,0.0120257,503.498
Industry groups,Local Government administration,SG01RSC04B01OO1,1987Q3,0.0063093,193.414
Industry groups,"Central government administration, defence, and public safety",SG01RSC04B01OO2,1987Q3,0.0372983,1185.795
Industry groups,Education and training,SG01RSC04B01PP1,1987Q3,0.0388231,1383.244
Industry groups,Health care and social assistance,SG01RSC04B01QQ1,1987Q3,0.0421132,1284.962
Industry groups,Arts and recreation services,SG01RSC04B01RS1,1987Q3,0.0078630,327.531
Industry groups,Other services,SG01RSC04B01RS2,1987Q3,0.0170951,466.704
Industry groups,"GST, import duties, stamp duty",SG01RSC04B01UZ9,1987Q3,0.0680429,1803.761
Industry groups,Agriculture,SG01RSC04B01AA1,1987Q4,0.0499960,1735.783
Industry groups,Forestry and logging,SG01RSC04B01AA2,1987Q4,0.0042006,133.521
Industry groups,"Fishing, aquaculture and agriculture, forestry and fishing support services",SG01RSC04B01AA3,1987Q4,0.0067661,206.836
Industry groups,Mining,SG01RSC04B01BB1,1987Q4,0.0140206,640.364
Industry groups,"Food, beverage, and tobacco manufacturing",SG01RSC04B01CC1,1987Q4,0.0564287,1118.102
Industry groups,"Textile, leather, clothing, and footwear manufacturing",SG01RSC04B01CC2,1987Q4,0.0140132,293.936
Industry groups,Wood and paper products manufacturing,SG01RSC04B01CC3,1987Q4,0.0191522,379.885
Industry groups,Printing,SG01RSC04B01CC4,1987Q4,0.0073460,223.299
Industry groups,"Petroleum, chemical, polymer, and rubber product manufacturing",SG01RSC04B01CC5,1987Q4,0.0381132,680.676
Industry groups,Non-metallic mineral product manufacturing,SG01RSC04B01CC6,1987Q4,0.0060588,188.404
Industry groups,Metal product manufacturing,SG01RSC04B01CC7,1987Q4,0.0187164,537.932
Industry groups,"Transport equipment, machinery and equipment manufacturing",SG01RSC04B01CC8,1987Q4,0.0286368,927.937
Industry groups,Furniture and other manufacturing,SG01RSC04B01CC9,1987Q4,0.0054366,188.839
Industry groups,"Electricity, gas, water, and waste services",SG01RSC04B01DD1,1987Q4,0.0297694,1114.319
Industry groups,Construction,SG01RSC04B01EE1,1987Q4,0.0500788,1641.194
Industry groups,Wholesale trade,SG01RSC04B01FF1,1987Q4,0.0574564,1436.549
Industry groups,Retail trade,SG01RSC04B01GH1,1987Q4,0.0502522,1170.321
Industry groups,Accommodation services,SG01RSC04B01GH2,1987Q4,0.0169034,691.694
Industry groups,"Transport, postal, and warehousing",SG01RSC04B01II1,1987Q4,0.0535779,1015.037
Industry groups,Information media and telecommunications,SG01RSC04B01JJ1,1987Q4,0.0433400,450.058
Industry groups,Financial and insurance services,SG01RSC04B01KK1,1987Q4,0.0538671,1501.024
Industry groups,"Rental, hiring, and real estate services",SG01RSC04B01LL1,1987Q4,0.0424050,1767.263
Industry groups,Ownership of owner-occupied dwellings,SG01RSC04B01LL2,1987Q4,0.0630485,1997.684
Industry groups,"Prof, scientific, and technical services",SG01RSC04B01MN1,1987Q4,0.0408455,1889.635
Industry groups,Administrative and support services,SG01RSC04B01MN2,1987Q4,0.0120257,518.277
Industry groups,Local Government administration,SG01RSC04B01OO1,1987Q4,0.0063093,198.380
Industry groups,"Central government administration, defence, and public safety",SG01RSC04B01OO2,1987Q4,0.0372983,1177.514
Industry groups,Education and training,SG01RSC04B01PP1,1987Q4,0.0388231,1387.804
Industry groups,Health care and social assistance,SG01RSC04B01QQ1,1987Q4,0.0421132,1285.658
Industry groups,Arts and recreation services,SG01RSC04B01RS1,1987Q4,0.0078630,341.034
Industry groups,Other services,SG01RSC04B01RS2,1987Q4,0.0170951,471.942
Industry groups,"GST, import duties, stamp duty",SG01RSC04B01UZ9,1987Q4,0.0680429,1825.991
Industry groups,Agriculture,SG01RSC04B01AA1,1988Q1,0.0499960,1769.547
Industry groups,Forestry and logging,SG01RSC04B01AA2,1988Q1,0.0042006,128.670
Industry groups,"Fishing, aquaculture and agriculture, forestry and fishing support services",SG01RSC04B01AA3,1988Q1,0.0067661,200.597
Industry groups,Mining,SG01RSC04B01BB1,1988Q1,0.0140206,658.536
Industry groups,"Food, beverage, and tobacco manufacturing",SG01RSC04B01CC1,1988Q1,0.0564287,1127.333
Industry groups,"Textile, leather, clothing, and footwear manufacturing",SG01RSC04B01CC2,1988Q1,0.0140132,302.262
Industry groups,Wood and paper products manufacturing,SG01RSC04B01CC3,1988Q1,0.0191522,355.954
Industry groups,Printing,SG01RSC04B01CC4,1988Q1,0.0073460,213.270
Industry groups,"Petroleum, chemical, polymer, and rubber product manufacturing",SG01RSC04B01CC5,1988Q1,0.0381132,712.469
Industry groups,Non-metallic mineral product manufacturing,SG01RSC04B01CC6,1988Q1,0.0060588,174.815
Industry groups,Metal product manufacturing,SG01RSC04B01CC7,1988Q1,0.0187164,521.497
Industry groups,"Transport equipment, machinery and equipment manufacturing",SG01RSC04B01CC8,1988Q1,0.0286368,883.324
Industry groups,Furniture and other manufacturing,SG01RSC04B01CC9,1988Q1,0.0054366,186.035
Industry groups,"Electricity, gas, water, and waste services",SG01RSC04B01DD1,1988Q1,0.0297694,1120.915
Industry groups,Construction,SG01RSC04B01EE1,1988Q1,0.0500788,1661.185
Industry groups,Wholesale trade,SG01RSC04B01FF1,1988Q1,0.0574564,1520.610
Industry groups,Retail trade,SG01RSC04B01GH1,1988Q1,0.0502522,1160.034
Industry groups,Accommodation services,SG01RSC04B01GH2,1988Q1,0.0169034,672.304
Industry groups,"Transport, postal, and warehousing",SG01RSC04B01II1,1988Q1,0.0535779,1040.746
Industry groups,Information media and telecommunications,SG01RSC04B01JJ1,1988Q1,0.0433400,448.656
Industry groups,Financial and insurance services,SG01RSC04B01KK1,1988Q1,0.0538671,1477.570
Industry groups,"Rental, hiring, and real estate services",SG01RSC04B01LL1,1988Q1,0.0424050,1735.041
Industry groups,Ownership of owner-occupied dwellings,SG01RSC04B01LL2,1988Q1,0.0630485,1978.358
Industry groups,"Prof, scientific, and technical services",SG01RSC04B01MN1,1988Q1,0.0408455,1881.519
Industry groups,Administrative and support services,SG01RSC04B01MN2,1988Q1,0.0120257,521.138
Industry groups,Local Government administration,SG01RSC04B01OO1,1988Q1,0.0063093,201.152
Industry groups,"Central government administration, defence, and public safety",SG01RSC04B01OO2,1988Q1,0.0372983,1176.955
Industry groups,Education and training,SG01RSC04B01PP1,1988Q1,0.0388231,1393.707
Industry groups,Health care and social assistance,SG01RSC04B01QQ1,1988Q1,0.0421132,1261.760
Industry groups,Arts and recreation services,SG01RSC04B01RS1,1988Q1,0.0078630,342.261
Industry groups,Other services,SG01RSC04B01RS2,1988Q1,0.0170951,465.322
Industry groups,"GST, import duties, stamp duty",SG01RSC04B01UZ9,1988Q1,0.0680429,1742.538
Industry groups,Agriculture,SG01RSC04B01AA1,1988Q2,0.0512230,1700.598
Industry groups,Forestry and logging,SG01RSC04B01AA2,1988Q2,0.0065686,149.492
Industry groups,"Fishing, aquaculture and agriculture, forestry and fishing support services",SG01RSC04B01AA3,1988Q2,0.0073041,230.955
Industry groups,Mining,SG01RSC04B01BB1,1988Q2,0.0125354,622.559
Industry groups,"Food, beverage, and tobacco manufacturing",SG01RSC04B01CC1,1988Q2,0.0569065,1211.261
Industry groups,"Textile, leather, clothing, and footwear manufacturing",SG01RSC04B01CC2,1988Q2,0.0115823,294.312
Industry groups,Wood and paper products manufacturing,SG01RSC04B01CC3,1988Q2,0.0178904,366.954
Industry groups,Printing,SG01RSC04B01CC4,1988Q2,0.0072324,215.022
Industry groups,"Petroleum, chemical, polymer, and rubber product manufacturing",SG01RSC04B01CC5,1988Q2,0.0397232,710.640
Industry groups,Non-metallic mineral product manufacturing,SG01RSC04B01CC6,1988Q2,0.0059639,183.693
Industry groups,Metal product manufacturing,SG01RSC04B01CC7,1988Q2,0.0177585,545.051
Industry groups,"Transport equipment, machinery and equipment manufacturing",SG01RSC04B01CC8,1988Q2,0.0254239,854.060
Industry groups,Furniture and other manufacturing,SG01RSC04B01CC9,1988Q2,0.0049409,176.877
Industry groups,"Electricity, gas, water, and waste services",SG01RSC04B01DD1,1988Q2,0.0309242,1084.626
Industry groups,Construction,SG01RSC04B01EE1,1988Q2,0.0468183,1538.195
Industry groups,Wholesale trade,SG01RSC04B01FF1,1988Q2,0.0583804,1467.245
Industry groups,Retail trade,SG01RSC04B01GH1,1988Q2,0.0486346,1137.968
Industry groups,Accommodation services,SG01RSC04B01GH2,1988Q2,0.0154779,659.067
Industry groups,"Transport, postal, and warehousing",SG01RSC04B01II1,1988Q2,0.0542121,1057.423
Industry groups,Information media and telecommunications,SG01RSC04B01JJ1,1988Q2,0.0440380,450.899
Industry groups,Financial and insurance services,SG01RSC04B01KK1,1988Q2,0.0499487,1441.762
Industry groups,"Rental, hiring, and real estate services",SG01RSC04B01LL1,1988Q2,0.0455318,1761.762
Industry groups,Ownership of owner-occupied dwellings,SG01RSC04B01LL2,1988Q2,0.0713577,1945.577
Industry groups,"Prof, scientific, and technical services",SG01RSC04B01MN1,1988Q2,0.0448051,1936.092
Industry groups,Administrative and support services,SG01RSC04B01MN2,1988Q2,0.0127790,533.075
Industry groups,Local Government administration,SG01RSC04B01OO1,1988Q2,0.0070176,205.967
Industry groups,"Central government administration, defence, and public safety",SG01RSC04B01OO2,1988Q2,0.0385776,1169.437
Industry groups,Education and training,SG01RSC04B01PP1,1988Q2,0.0394615,1400.964
Industry groups,Health care and social assistance,SG01RSC04B01QQ1,1988Q2,0.0425844,1317.574
Industry groups,Arts and recreation services,SG01RSC04B01RS1,1988Q2,0.0087499,334.820
Industry groups,Other services,SG01RSC04B01RS2,1988Q2,0.0168296,449.926
Industry groups,"GST, import duties, stamp duty",SG01RSC04B01UZ9,1988Q2,0.0588185,1706.650
Industry groups,Agriculture,SG01RSC04B01AA1,1988Q3,0.0512230,1632.216
Industry groups,Forestry and logging,SG01RSC04B01AA2,1988Q3,0.0065686,155.138
Industry groups,"Fishing, aquaculture and agriculture, forestry and fishing support services",SG01RSC04B01AA3,1988Q3,0.0073041,240.994
Industry groups,Mining,SG01RSC04B01BB1,1988Q3,0.0125354,588.714
Industry groups,"Food, beverage, and tobacco manufacturing",SG01RSC04B01CC1,1988Q3,0.0569065,1107.752
Industry groups,"Textile, leather, clothing, and footwear manufacturing",SG01RSC04B01CC2,1988Q3,0.0115823,297.306
Industry groups,Wood and paper products manufacturing,SG01RSC04B01CC3,1988Q3,0.0178904,359.284
Industry groups,Printing,SG01RSC04B01CC4,1988Q3,0.0072324,218.235
Industry groups,"Petroleum, chemical, polymer, and rubber product manufacturing",SG01RSC04B01CC5,1988Q3,0.0397232,740.491
Industry groups,Non-metallic mineral product manufacturing,SG01RSC04B01CC6,1988Q3,0.0059639,169.344
Industry groups,Metal product manufacturing,SG01RSC04B01CC7,1988Q3,0.0177585,553.848
Industry groups,"Transport equipment, machinery and equipment manufacturing",SG01RSC04B01CC8,1988Q3,0.0254239,881.151
Industry groups,Furniture and other manufacturing,SG01RSC04B01CC9,1988Q3,0.0049409,174.708
Industry groups,"Electricity, gas, water, and waste services",SG01RSC04B01DD1,1988Q3,0.0309242,1088.059
Industry groups,Construction,SG01RSC04B01EE1,1988Q3,0.0468183,1539.338
Industry groups,Wholesale trade,SG01RSC04B01FF1,1988Q3,0.0583804,1519.964
Industry groups,Retail trade,SG01RSC04B01GH1,1988Q3,0.0486346,1162.064
Industry groups,Accommodation services,SG01RSC04B01GH2,1988Q3,0.0154779,657.107
Industry groups,"Transport, postal, and warehousing",SG01RSC04B01II1,1988Q3,0.0542121,1067.839
Industry groups,Information media and telecommunications,SG01RSC04B01JJ1,1988Q3,0.0440380,449.755
Industry groups,Financial and insurance services,SG01RSC04B01KK1,1988Q3,0.0499487,1436.139
Industry groups,"Rental, hiring, and real estate services",SG01RSC04B01LL1,1988Q3,0.0455318,1762.471
Industry groups,Ownership of owner-occupied dwellings,SG01RSC04B01LL2,1988Q3,0.0713577,1915.919
Industry groups,"Prof, scientific, and technical services",SG01RSC04B01MN1,1988Q3,0.0448051,1910.067
Industry groups,Administrative and support services,SG01RSC04B01MN2,1988Q3,0.0127790,531.187
Industry groups,Local Government administration,SG01RSC04B01OO1,1988Q3,0.0070176,211.834
Industry groups,"Central government administration, defence, and public safety",SG01RSC04B01OO2,1988Q3,0.0385776,1145.310
Industry groups,Education and training,SG01RSC04B01PP1,1988Q3,0.0394615,1409.758
Industry groups,Health care and social assistance,SG01RSC04B01QQ1,1988Q3,0.0425844,1330.370
Industry groups,Arts and recreation services,SG01RSC04B01RS1,1988Q3,0.0087499,317.394
Industry groups,Other services,SG01RSC04B01RS2,1988Q3,0.0168296,454.737
Industry groups,"GST, import duties, stamp duty",SG01RSC04B01UZ9,1988Q3,0.0588185,1756.889
Industry groups,Agriculture,SG01RSC04B01AA1,1988Q4,0.0512230,1522.648
Industry groups,Forestry and logging,SG01RSC04B01AA2,1988Q4,0.0065686,158.893
Industry groups,"Fishing, aquaculture and agriculture, forestry and fishing support services",SG01RSC04B01AA3,1988Q4,0.0073041,236.793
Industry groups,Mining,SG01RSC04B01BB1,1988Q4,0.0125354,440.721
Industry groups,"Food, beverage, and tobacco manufacturing",SG01RSC04B01CC1,1988Q4,0.0569065,1131.126
Industry groups,"Textile, leather, clothing, and footwear manufacturing",SG01RSC04B01CC2,1988Q4,0.0115823,301.438
Industry groups,Wood and paper products manufacturing,SG01RSC04B01CC3,1988Q4,0.0178904,340.445
Industry groups,Printing,SG01RSC04B01CC4,1988Q4,0.0072324,209.166
Industry groups,"Petroleum, chemical, polymer, and rubber product manufacturing",SG01RSC04B01CC5,1988Q4,0.0397232,743.748
Industry groups,Non-metallic mineral product manufacturing,SG01RSC04B01CC6,1988Q4,0.0059639,160.764
Industry groups,Metal product manufacturing,SG01RSC04B01CC7,1988Q4,0.0177585,538.122
Industry groups,"Transport equipment, machinery and equipment manufacturing",SG01RSC04B01CC8,1988Q4,0.0254239,849.437
Industry groups,Furniture and other manufacturing,SG01RSC04B01CC9,1988Q4,0.0049409,169.171
Industry groups,"Electricity, gas, water, and waste services",SG01RSC04B01DD1,1988Q4,0.0309242,1125.813
Industry groups,Construction,SG01RSC04B01EE1,1988Q4,0.0468183,1507.277
Industry groups,Wholesale trade,SG01RSC04B01FF1,1988Q4,0.0583804,1592.269
Industry groups,Retail trade,SG01RSC04B01GH1,1988Q4,0.0486346,1158.155
Industry groups,Accommodation services,SG01RSC04B01GH2,1988Q4,0.0154779,652.918
Industry groups,"Transport, postal, and warehousing",SG01RSC04B01II1,1988Q4,0.0542121,1050.655
Industry groups,Information media and telecommunications,SG01RSC04B01JJ1,1988Q4,0.0440380,450.727
Industry groups,Financial and insurance services,SG01RSC04B01KK1,1988Q4,0.0499487,1462.409
Industry groups,"Rental, hiring, and real estate services",SG01RSC04B01LL1,1988Q4,0.0455318,1780.223
Industry groups,Ownership of owner-occupied dwellings,SG01RSC04B01LL2,1988Q4,0.0713577,1887.729
Industry groups,"Prof, scientific, and technical services",SG01RSC04B01MN1,1988Q4,0.0448051,1900.547
Industry groups,Administrative and support services,SG01RSC04B01MN2,1988Q4,0.0127790,531.452
Industry groups,Local Government administration,SG01RSC04B01OO1,1988Q4,0.0070176,217.229
Industry groups,"Central government administration, defence, and public safety",SG01RSC04B01OO2,1988Q4,0.0385776,1141.757
Industry groups,Education and training,SG01RSC04B01PP1,1988Q4,0.0394615,1419.666
Industry groups,Health care and social assistance,SG01RSC04B01QQ1,1988Q4,0.0425844,1340.522
Industry groups,Arts and recreation services,SG01RSC04B01RS1,1988Q4,0.0087499,314.705
Industry groups,Other services,SG01RSC04B01RS2,1988Q4,0.0168296,450.410
Industry groups,"GST, import duties, stamp duty",SG01RSC04B01UZ9,1988Q4,0.0588185,1755.387
Industry groups,Agriculture,SG01RSC04B01AA1,1989Q1,0.0512230,1471.447
Industry groups,Forestry and logging,SG01RSC04B01AA2,1989Q1,0.0065686,169.905
Industry groups,"Fishing, aquaculture and agriculture, forestry and fishing support services",SG01RSC04B01AA3,1989Q1,0.0073041,245.794
Industry groups,Mining,SG01RSC04B01BB1,1989Q1,0.0125354,669.802
Industry groups,"Food, beverage, and tobacco manufacturing",SG01RSC04B01CC1,1989Q1,0.0569065,1102.483
Industry groups,"Textile, leather, clothing, and footwear manufacturing",SG01RSC04B01CC2,1989Q1,0.0115823,298.178
Industry groups,Wood and paper products manufacturing,SG01RSC04B01CC3,1989Q1,0.0178904,341.895
Industry groups,Printing,SG01RSC04B01CC4,1989Q1,0.0072324,208.508
Industry groups,"Petroleum, chemical, polymer, and rubber product manufacturing",SG01RSC04B01CC5,1989Q1,0.0397232,803.915
Industry groups,Non-metallic mineral product manufacturing,SG01RSC04B01CC6,1989Q1,0.0059639,162.509
Industry groups,Metal product manufacturing,SG01RSC04B01CC7,1989Q1,0.0177585,559.526
Industry groups,"Transport equipment, machinery and equipment manufacturing",SG01RSC04B01CC8,1989Q1,0.0254239,873.915
Industry groups,Furniture and other manufacturing,SG01RSC04B01CC9,1989Q1,0.0049409,160.343
Industry groups,"Electricity, gas, water, and waste services",SG01RSC04B01DD1,1989Q1,0.0309242,1094.090
Industry groups,Construction,SG01RSC04B01EE1,1989Q1,0.0468183,1522.701
Industry groups,Wholesale trade,SG01RSC04B01FF1,1989Q1,0.0583804,1668.257
Industry groups,Retail trade,SG01RSC04B01GH1,1989Q1,0.0486346,1165.427
Industry groups,Accommodation services,SG01RSC04B01GH2,1989Q1,0.0154779,647.381
Industry groups,"Transport, postal, and warehousing",SG01RSC04B01II1,1989Q1,0.0542121,1027.573
Industry groups,Information media and telecommunications,SG01RSC04B01JJ1,1989Q1,0.0440380,458.475
Industry groups,Financial and insurance services,SG01RSC04B01KK1,1989Q1,0.0499487,1455.241
Industry groups,"Rental, hiring, and real estate services",SG01RSC04B01LL1,1989Q1,0.0455318,1765.221
Industry groups,Ownership of owner-occupied dwellings,SG01RSC04B01LL2,1989Q1,0.0713577,1862.448
Industry groups,"Prof, scientific, and technical services",SG01RSC04B01MN1,1989Q1,0.0448051,1949.273
Industry groups,Administrative and support services,SG01RSC04B01MN2,1989Q1,0.0127790,544.275
Industry groups,Local Government administration,SG01RSC04B01OO1,1989Q1,0.0070176,220.563
Industry groups,"Central government administration, defence, and public safety",SG01RSC04B01OO2,1989Q1,0.0385776,1157.891
Industry groups,Education and training,SG01RSC04B01PP1,1989Q1,0.0394615,1431.087
Industry groups,Health care and social assistance,SG01RSC04B01QQ1,1989Q1,0.0425844,1359.582
Industry groups,Arts and recreation services,SG01RSC04B01RS1,1989Q1,0.0087499,333.946
Industry groups,Other services,SG01RSC04B01RS2,1989Q1,0.0168296,469.115
Industry groups,"GST, import duties, stamp duty",SG01RSC04B01UZ9,1989Q1,0.0588185,1853.394
Industry groups,Agriculture,SG01RSC04B01AA1,1989Q2,0.0533860,1407.245
Industry groups,Forestry and logging,SG01RSC04B01AA2,1989Q2,0.0068865,167.968
Industry groups,"Fishing, aquaculture and agriculture, forestry and fishing support services",SG01RSC04B01AA3,1989Q2,0.0074142,242.402
Industry groups,Mining,SG01RSC04B01BB1,1989Q2,0.0120160,485.271
Industry groups,"Food, beverage, and tobacco manufacturing",SG01RSC04B01CC1,1989Q2,0.0562192,1048.857
Industry groups,"Textile, leather, clothing, and footwear manufacturing",SG01RSC04B01CC2,1989Q2,0.0119892,313.793
Industry groups,Wood and paper products manufacturing,SG01RSC04B01CC3,1989Q2,0.0190756,350.831
Industry groups,Printing,SG01RSC04B01CC4,1989Q2,0.0071954,214.363
Industry groups,"Petroleum, chemical, polymer, and rubber product manufacturing",SG01RSC04B01CC5,1989Q2,0.0377425,805.932
Industry groups,Non-metallic mineral product manufacturing,SG01RSC04B01CC6,1989Q2,0.0055041,166.736
Industry groups,Metal product manufacturing,SG01RSC04B01CC7,1989Q2,0.0195566,562.536
Industry groups,"Transport equipment, machinery and equipment manufacturing",SG01RSC04B01CC8,1989Q2,0.0239928,903.040
Industry groups,Furniture and other manufacturing,SG01RSC04B01CC9,1989Q2,0.0049279,168.706
Industry groups,"Electricity, gas, water, and waste services",SG01RSC04B01DD1,1989Q2,0.0311955,1132.648
Industry groups,Construction,SG01RSC04B01EE1,1989Q2,0.0476383,1637.109
Industry groups,Wholesale trade,SG01RSC04B01FF1,1989Q2,0.0522401,1668.656
Industry groups,Retail trade,SG01RSC04B01GH1,1989Q2,0.0467609,1226.630
Industry groups,Accommodation services,SG01RSC04B01GH2,1989Q2,0.0154254,654.854
Industry groups,"Transport, postal, and warehousing",SG01RSC04B01II1,1989Q2,0.0536872,1031.226
Industry groups,Information media and telecommunications,SG01RSC04B01JJ1,1989Q2,0.0404773,475.465
Industry groups,Financial and insurance services,SG01RSC04B01KK1,1989Q2,0.0472555,1399.530
Industry groups,"Rental, hiring, and real estate services",SG01RSC04B01LL1,1989Q2,0.0478143,1808.708
Industry groups,Ownership of owner-occupied dwellings,SG01RSC04B01LL2,1989Q2,0.0728304,1840.335
Industry groups,"Prof, scientific, and technical services",SG01RSC04B01MN1,1989Q2,0.0442026,1966.592
Industry groups,Administrative and support services,SG01RSC04B01MN2,1989Q2,0.0124781,539.028
Industry groups,Local Government administration,SG01RSC04B01OO1,1989Q2,0.0072256,227.729
Industry groups,"Central government administration, defence, and public safety",SG01RSC04B01OO2,1989Q2,0.0393886,1159.811
Industry groups,Education and training,SG01RSC04B01PP1,1989Q2,0.0399625,1444.130
Industry groups,Health care and social assistance,SG01RSC04B01QQ1,1989Q2,0.0408506,1326.896
Industry groups,Arts and recreation services,SG01RSC04B01RS1,1989Q2,0.0088215,319.262
Industry groups,Other services,SG01RSC04B01RS2,1989Q2,0.0164347,472.610
Industry groups,"GST, import duties, stamp duty",SG01RSC04B01UZ9,1989Q2,0.0694051,1900.571
Industry groups,Agriculture,SG01RSC04B01AA1,1989Q3,0.0533860,1412.029
Industry groups,Forestry and logging,SG01RSC04B01AA2,1989Q3,0.0068865,174.860
Industry groups,"Fishing, aquaculture and agriculture, forestry and fishing support services",SG01RSC04B01AA3,1989Q3,0.0074142,246.427
Industry groups,Mining,SG01RSC04B01BB1,1989Q3,0.0120160,539.925
Industry groups,"Food, beverage, and tobacco manufacturing",SG01RSC04B01CC1,1989Q3,0.0562192,1038.415
Industry groups,"Textile, leather, clothing, and footwear manufacturing",SG01RSC04B01CC2,1989Q3,0.0119892,303.605
